COD_PROV,PROVINCIA,CAPITAL,LONGITUD_ETRS89,LATITUD_ETRS89
1,Araba/Álava,Vitoria-Gasteiz,-2.67275685,42.85058789
2,Albacete,Albacete,-1.85574745,38.99588053
3,Alacant/Alicante,Alicante/Alacant,-0.4831832,38.34548705
4,Almería,Almería,-2.46413188,36.83892362
5,Ávila,Ávila,-4.69771277,40.65586958
6,Badajoz,Badajoz,-6.97099704,38.87874339
7,Illes Balears,Palma,2.65181698,39.57114699
8,Barcelona,Barcelona,2.17634927,41.38424664
9,Burgos,Burgos,-3.70419805,42.34113004
10,Cáceres,Cáceres,-6.37121092,39.47316762
11,Cádiz,Cádiz,-6.28414575,36.52171152
12,Castelló/Castellón,Castelló de la Plana,-0.03688142,39.98640809
13,Ciudad Real,Ciudad Real,-3.93131981,38.98651781
14,Córdoba,Córdoba,-4.78032455,37.87954225
15,A Coruña,A Coruña,-8.395501936,43.37126587
16,Cuenca,Cuenca,-2.13152306,40.07653762
17,Girona,Girona,2.82411899,41.98186075
18,Granada,Granada,-3.60001883,37.17641932
19,Guadalajara,Guadalajara,-3.16210273,40.63435548
20,Gipuzkoa,Donostia/San Sebastián,-1.98191785,43.31717158
21,Huelva,Huelva,-6.95040588,37.26004113
22,Huesca,Huesca,-0.40842276,42.14062739
23,Jaén,Jaén,-3.7903594,37.7651913
24,León,León,-5.56707631,42.59912097
25,Lleida,Lleida,0.62061934,41.61527355
26,La Rioja,Logroño,-2.44565538,42.46644945
27,Lugo,Lugo,-7.555755439,43.00988951
28,Madrid,Madrid,-3.68760088,40.40841191
29,Málaga,Málaga,-4.41997511,36.72034267
30,Murcia,Murcia,-1.1285408,37.98436361
31,Navarra,Pamplona/Iruña,-1.6451528,42.814102
32,Ourense,Ourense,-7.863836656,42.33553117
33,Asturias,Oviedo,-5.84372206,43.36232165
34,Palencia,Palencia,-4.53460106,42.0078373
35,Las Palmas,Las Palmas de Gran Canaria,-15.41336841,28.09937855
36,Pontevedra,Pontevedra,-8.643672092,42.43158576
37,Salamanca,Salamanca,-5.66538084,40.96736822
38,Santa Cruz de Tenerife,Santa Cruz de Tenerife,-16.24720629,28.46285408
39,Cantabria,Santander,-3.809722222,43.46216667
40,Segovia,Segovia,-4.12524116,40.9498703
41,Sevilla,Sevilla,-5.99251368,37.38620512
42,Soria,Soria,-2.46624798,41.76327912
43,Tarragona,Tarragona,1.2584219,41.11910287
44,Teruel,Teruel,-1.10927177,40.34412951
45,Toledo,Toledo,-4.024974933,39.8565219
46,València/Valencia,València,-0.37565717,39.47534441
47,Valladolid,Valladolid,-4.72334924,41.65232777
48,Bizkaia,Bilbao,-2.92390606,43.25721957
49,Zamora,Zamora,-5.75494831,41.49913956
50,Zaragoza,Zaragoza,-0.87928652,41.65645655
51,Ceuta,Ceuta,-5.30675127,35.88810209
52,Melilla,Melilla,-2.937088836,35.29220967
