COD_PROV,PROVINCIA,CAPITAL,LONGITUD_ETRS89,LATITUD_ETRS89,Provincia,Capital,Comunidad autónoma,Municipios,Valor
1,Araba/Álava,Vitoria-Gasteiz,-2.67275685,42.85058789,Álava,Vitoria,País Vasco,Municipios,333940
2,Albacete,Albacete,-1.85574745,38.99588053,Albacete,Albacete,Castilla-La Mancha,Municipios,388270
3,Alacant/Alicante,Alicante/Alacant,-0.4831832,38.34548705,Alicante,Alicante,Comunidad Valenciana,Municipios,1879888
4,Almería,Almería,-2.46413188,36.83892362,Almería,Almería,Andalucía,Municipios,727945
5,Ávila,Ávila,-4.69771277,40.65586958,Ávila,Ávila,Castilla y León,Municipios,157664
6,Badajoz,Badajoz,-6.97099704,38.87874339,Badajoz,Badajoz,Extremadura,Municipios,672137
7,Illes Balears,Palma,2.65181698,39.57114699,Baleares,Palma de Mallorca,Islas Baleares,Municipios,1171543
8,Barcelona,Barcelona,2.17634927,41.38424664,Barcelona,Barcelona,Cataluña,Municipios,5743402
9,Burgos,Burgos,-3.70419805,42.34113004,Burgos,Burgos,Castilla y León,Municipios,357650
10,Cáceres,Cáceres,-6.37121092,39.47316762,Cáceres,Cáceres,Extremadura,Municipios,391850
11,Cádiz,Cádiz,-6.28414575,36.52171152,Cádiz,Cádiz,Andalucía,Municipios,1244049
12,Castelló/Castellón,Castelló de la Plana,-0.03688142,39.98640809,Castellón,Castellón de la Plana,Comunidad Valenciana,Municipios,585590
13,Ciudad Real,Ciudad Real,-3.93131981,38.98651781,Ciudad Real,Ciudad Real,Castilla-La Mancha,Municipios,495045
14,Córdoba,Córdoba,-4.78032455,37.87954225,Córdoba,Córdoba,Andalucía,Municipios,781451
15,A Coruña,A Coruña,-8.395501936,43.37126587,La  Coruña,La Coruña,Galicia,Municipios,1121815
16,Cuenca,Cuenca,-2.13152306,40.07653762,Cuenca,Cuenca,Castilla-La Mancha,Municipios,196139
17,Girona,Girona,2.82411899,41.98186075,Gerona,Gerona,Cataluña,Municipios,781788
18,Granada,Granada,-3.60001883,37.17641932,Granada,Granada,Andalucía,Municipios,919168
19,Guadalajara,Guadalajara,-3.16210273,40.63435548,Guadalajara,Guadalajara,Castilla-La Mancha,Municipios,261995
20,Gipuzkoa,Donostia/San Sebastián,-1.98191785,43.31717158,Guipúzcoa,San Sebastián,País Vasco,Municipios,727121
21,Huelva,Huelva,-6.95040588,37.26004113,Huelva,Huelva,Andalucía,Municipios,524278
22,Huesca,Huesca,-0.40842276,42.14062739,Huesca,Huesca,Aragón,Municipios,222687
23,Jaén,Jaén,-3.7903594,37.7651913,Jaén,Jaén,Andalucía,Municipios,631381
24,León,León,-5.56707631,42.59912097,León,León,Castilla y León,Municipios,456439
25,Lleida,Lleida,0.62061934,41.61527355,Lérida,Lérida,Cataluña,Municipios,438517
26,La Rioja,Logroño,-2.44565538,42.46644945,La Rioja,Logroño,La Rioja,Municipios,319914
27,Lugo,Lugo,-7.555755439,43.00988951,Lugo,Lugo,Galicia,Municipios,327946
28,Madrid,Madrid,-3.68760088,40.40841191,Madrid,Madrid,Comunidad de Madrid,Municipios,6779888
29,Málaga,Málaga,-4.41997511,36.72034267,Málaga,Málaga,Andalucía,Municipios,1685920
30,Murcia,Murcia,-1.1285408,37.98436361,Murcia,Murcia,Región de Murcia,Municipios,1511251
31,Navarra,Pamplona/Iruña,-1.6451528,42.814102,Navarra,Pamplona,Navarra,Municipios,661197
32,Ourense,Ourense,-7.863836656,42.33553117,Orense,Orense,Galicia,Municipios,306650
33,Asturias,Oviedo,-5.84372206,43.36232165,Asturias,Oviedo,Principado de Asturias,Concejos,1018784
34,Palencia,Palencia,-4.53460106,42.0078373,Palencia,Palencia,Castilla y León,Municipios,160321
35,Las Palmas,Las Palmas de Gran Canaria,-15.41336841,28.09937855,Las  Palmas,Las Palmas de Gran Canaria,Canarias,Municipios,NA
36,Pontevedra,Pontevedra,-8.643672092,42.43158576,Pontevedra,Pontevedra,Galicia,Municipios,945408
37,Salamanca,Salamanca,-5.66538084,40.96736822,Salamanca,Salamanca,Castilla y León,Municipios,329245
